LoanCategory,LoanMetric,MacroFactor,Correlation
C&I,DefaultRate,InflationRate,0.5512990885942083
C&I,DefaultRate,UnemploymentRate,-0.10748255673889065
C&I,DefaultRate,GDPGrowthRate,0.4721572463213037
C&I,DefaultRate,HomePriceIndex,0.5433317396810742
C&I,Profitability,InflationRate,-0.6934796541354644
C&I,Profitability,UnemploymentRate,0.3062610028772166
C&I,Profitability,GDPGrowthRate,-0.638288683902279
C&I,Profitability,HomePriceIndex,-0.691001578351775
Retail,DefaultRate,InflationRate,0.1885984660518222
Retail,DefaultRate,UnemploymentRate,0.3197609382724963
Retail,DefaultRate,GDPGrowthRate,0.1670248273294514
Retail,DefaultRate,HomePriceIndex,0.15544157181782356
Retail,Profitability,InflationRate,-0.7979342893946975
Retail,Profitability,UnemploymentRate,-0.7090272820371456
Retail,Profitability,GDPGrowthRate,-0.8109557315870208
Retail,Profitability,HomePriceIndex,-0.8177670599632443
CRE,DefaultRate,InflationRate,-0.2932865200081979
CRE,DefaultRate,UnemploymentRate,0.750509769409691
CRE,DefaultRate,GDPGrowthRate,-0.18282348513315064
CRE,DefaultRate,HomePriceIndex,-0.4680379514134506
CRE,Profitability,InflationRate,-0.029957517920017194
CRE,Profitability,UnemploymentRate,-0.46401818112642607
CRE,Profitability,GDPGrowthRate,-0.1661688555645373
CRE,Profitability,HomePriceIndex,0.10607131186714334
Mortgage,DefaultRate,InflationRate,0.6961180593740828
Mortgage,DefaultRate,UnemploymentRate,0.3018870959734522
Mortgage,DefaultRate,GDPGrowthRate,0.6996035035207497
Mortgage,DefaultRate,HomePriceIndex,0.6041857597302781
Mortgage,Profitability,InflationRate,-0.13857047064367456
Mortgage,Profitability,UnemploymentRate,-0.39882167286299425
Mortgage,Profitability,GDPGrowthRate,-0.0961878983074937
Mortgage,Profitability,HomePriceIndex,-0.1187249580504424
Construction,DefaultRate,InflationRate,1.0
Construction,DefaultRate,UnemploymentRate,
Construction,DefaultRate,GDPGrowthRate,1.0
Construction,DefaultRate,HomePriceIndex,1.0
Construction,Profitability,InflationRate,-1.0
Construction,Profitability,UnemploymentRate,
Construction,Profitability,GDPGrowthRate,-0.9999999999999999
Construction,Profitability,HomePriceIndex,-1.0
M&A,DefaultRate,InflationRate,0.7064533410675821
M&A,DefaultRate,UnemploymentRate,-0.3058428662259803
M&A,DefaultRate,GDPGrowthRate,0.7381465930961344
M&A,DefaultRate,HomePriceIndex,0.7626986952217292
M&A,Profitability,InflationRate,0.5112429941141315
M&A,Profitability,UnemploymentRate,0.49528435330889675
M&A,Profitability,GDPGrowthRate,0.43949585694980764
M&A,Profitability,HomePriceIndex,0.38914323496054143
